Date,price,volume,return_value,indication
2000/11/17,10005,43345,1.0005,1
2000/11/18,"","","",0
2000/11/19,"","","",0
2000/11/20,9983,43884,.9978011,1
2000/11/21,9907,43785,.99238706,1
2000/11/22,9847,43892,.99394368,1
2000/11/23,"","","",0
2000/11/24,9802,44000,.99543008,1
2000/11/25,"","","",0
2000/11/26,"","","",0
2000/11/27,9993,45075,1.01948582,1
2000/11/28,10021,45410,1.00280196,1
2000/11/29,9856,45043,.98353458,1
2000/11/30,9855,45331,.99989854,1
2000/12/01,9882,45676,1.00273973,1
2000/12/02,"","","",0
2000/12/03,"","","",0
2000/12/04,9983,46587,1.0102206,1
2000/12/05,9929,46392,.9945908,1
2000/12/06,10166,47543,1.02386947,1
2000/12/07,10037,46989,.98731064,1
2000/12/08,9978,46749,.99412175,1
2000/12/09,"","","",0
2000/12/10,"","","",0
2000/12/11,10170,47696,1.01924233,1
2000/12/12,10210,47915,1.00393314,1
2000/12/13,10178,47797,.99686582,1
2000/12/14,9983,47447,.98084103,1
2000/12/15,9779,46532,.97956526,1
2000/12/16,"","","",0
2000/12/17,"","","",0
2000/12/18,9694,46183,.9913079,1
2000/12/19,9367,44636,.96626779,1
2000/12/20,9083,43354,.96968079,1
2000/12/21,8718,41665,.95981504,1
2000/12/22,8859,42371,1.01617343,1
2000/12/23,"","","",0
2000/12/24,"","","",0
2000/12/25,9147,43772,1.03250931,1
2000/12/26,9140,43766,.99923472,1
2000/12/27,9094,43572,.99496718,1
2000/12/28,9102,43648,1.0008797,1
2000/12/29,9012,43230,.99011206,1
2000/12/30,"","","",0
2000/12/31,"","","",0
2001/01/01,"","","",0
2001/01/02,"","","",0
2001/01/03,"","","",0
2001/01/04,8975,43060,.99589436,1
2001/01/05,9108,43700,1.01481894,1
2001/01/06,"","","",0
2001/01/07,"","","",0
2001/01/08,"","","",0
2001/01/09,8874,43558,.9743083,1
2001/01/10,8727,42848,.98343475,1
2001/01/11,8521,41831,.9763951,1
2001/01/12,8630,42345,1.01279193,1
2001/01/13,"","","",0
2001/01/14,"","","",0
2001/01/15,8745,42913,1.01332561,1
2001/01/16,8914,43752,1.01932533,1
2001/01/17,9018,44256,1.01166704,1
2001/01/18,9304,45674,1.03171435,1
2001/01/19,9467,46466,1.01751935,1
2001/01/20,"","","",0
2001/01/21,"","","",0
2001/01/22,9445,46381,.99767614,1
2001/01/23,9386,46108,.99375331,1
2001/01/24,9401,46223,1.00159812,1
2001/01/25,9422,46337,1.0022338,1
2001/01/26,9265,45574,.98333687,1
2001/01/27,"","","",0
2001/01/28,"","","",0
2001/01/29,9257,45533,.99913654,1
2001/01/30,9321,45861,1.00691369,1
2001/01/31,9389,46213,1.00729535,1
2001/02/01,9389,46229,1,1
2001/02/02,9381,45304,.99914794,1
2001/02/03,"","","",0
2001/02/04,"","","",0
2001/02/05,9170,43955,.97750773,1
2001/02/06,9115,43625,.99400218,1
2001/02/07,9146,43771,1.00340099,1
