Date,price,volume,return_value,indication
2006/06/12,10000,1,1,1
2006/06/13,9963,1,.9963,1
2006/06/14,9898,1,.99347586,1
2006/06/15,9870,1,.99717115,1
2006/06/16,10015,1,1.01469098,1
2006/06/17,"","","",0
2006/06/18,"","","",0
2006/06/19,10016,1,1.00009985,1
2006/06/20,10000,1,.99840256,1
2006/06/21,9902,1,.9902,1
2006/06/22,9963,1,1.00616037,1
2006/06/23,10022,1,1.00592191,1
2006/06/24,"","","",0
2006/06/25,"","","",0
2006/06/26,10026,1,1.00039912,1
2006/06/27,10055,1,1.00289248,1
2006/06/28,10054,1,.99990055,1
2006/06/29,10084,1,1.00298389,1
2006/06/30,10158,1,1.00733836,1
2006/07/01,"","","",0
2006/07/02,"","","",0
2006/07/03,10210,1,1.00511912,1
2006/07/04,10231,1,1.00205681,1
2006/07/05,10314,1,1.0081126,1
2006/07/06,10321,1,1.00067869,1
2006/07/07,10369,1,1.00465071,1
2006/07/08,"","","",0
2006/07/09,"","","",0
2006/07/10,10235,1,.98707686,1
2006/07/11,10286,1,1.0049829,1
2006/07/12,10330,1,1.00427766,1
2006/07/13,10457,1,1.01229429,1
2006/07/14,10403,1,.994836,1
2006/07/15,"","","",0
2006/07/16,"","","",0
2006/07/17,"","","",0
2006/07/18,10364,1,.99625108,1
2006/07/19,10427,1,1.00607873,1
2006/07/20,10516,1,1.00853553,1
2006/07/21,10530,1,1.0013313,1
2006/07/22,"","","",0
2006/07/23,"","","",0
2006/07/24,10454,1,.99278253,1
2006/07/25,10558,1,1.00994835,1
2006/07/26,10590,1,1.00303088,1
2006/07/27,10608,1,1.00169972,1
2006/07/28,10607,1,.99990573,1
2006/07/29,"","","",0
2006/07/30,"","","",0
2006/07/31,10582,1,.99764307,1
2006/08/01,10567,1,.9985825,1
2006/08/02,10546,1,.99801268,1
2006/08/03,10572,1,1.00246539,1
2006/08/04,10676,1,1.00983731,1
2006/08/05,"","","",0
2006/08/06,"","","",0
2006/08/07,10653,1,.99784564,1
2006/08/08,10691,1,1.00356707,1
2006/08/09,10707,1,1.00149659,1
2006/08/10,10704,1,.99971981,1
2006/08/11,10683,1,.99803812,1
2006/08/12,"","","",0
2006/08/13,"","","",0
2006/08/14,10749,1,1.00617804,1
2006/08/15,10823,1,1.00688436,1
2006/08/16,10859,1,1.00332625,1
2006/08/17,10876,1,1.00156552,1
2006/08/18,10893,1,1.00156307,1
2006/08/19,"","","",0
2006/08/20,"","","",0
2006/08/21,10854,1,.99641972,1
2006/08/22,10907,1,1.00488299,1
2006/08/23,10973,1,1.00605116,1
2006/08/24,10953,1,.99817734,1
2006/08/25,10913,1,.99634803,1
2006/08/26,"","","",0
2006/08/27,"","","",0
2006/08/28,10952,1,1.00357372,1
2006/08/29,11005,1,1.0048393,1
2006/08/30,11009,1,1.00036347,1
2006/08/31,11095,1,1.00781179,1
2006/09/01,11159,1,1.00576836,1
2006/09/02,"","","",0
2006/09/03,"","","",0
2006/09/04,11119,1,.99641545,1
2006/09/05,11048,1,.99361453,1
2006/09/06,11093,1,1.00407314,1
2006/09/07,11111,1,1.00162264,1
2006/09/08,11014,1,.99126991,1
2006/09/09,"","","",0
2006/09/10,"","","",0
2006/09/11,11032,1,1.00163428,1
2006/09/12,11107,1,1.0067984,1
2006/09/13,11191,1,1.0075628,1
2006/09/14,11220,1,1.00259137,1
2006/09/15,11260,1,1.00356506,1
2006/09/16,"","","",0
2006/09/17,"","","",0
2006/09/18,"","","",0
2006/09/19,11338,1,1.00692718,1
2006/09/20,11315,1,.99797142,1
2006/09/21,11302,1,.99885108,1
2006/09/22,11194,1,.99044417,1
2006/09/23,"","","",0
2006/09/24,"","","",0
2006/09/25,11211,1,1.00151867,1
2006/09/26,11186,1,.99777005,1
2006/09/27,11256,1,1.00625782,1
2006/09/28,11402,1,1.01297086,1
2006/09/29,11458,1,1.00491142,1
2006/09/30,"","","",0
2006/10/01,"","","",0
2006/10/02,11510,1,1.00453831,1
2006/10/03,11523,1,1.00112945,1
2006/10/04,11581,1,1.00503341,1
2006/10/05,11610,1,1.0025041,1
2006/10/06,11688,1,1.00671835,1
2006/10/07,"","","",0
2006/10/08,"","","",0
2006/10/09,"","","",0
2006/10/10,11775,1,1.00744353,1
2006/10/11,11854,1,1.00670913,1
2006/10/12,11821,1,.99721613,1
2006/10/13,11819,1,.99983081,1
2006/10/14,"","","",0
2006/10/15,"","","",0
2006/10/16,11888,1,1.00583806,1
2006/10/17,11863,1,.99789704,1
2006/10/18,11780,1,.99300346,1
2006/10/19,11879,1,1.00840407,1
2006/10/20,11837,1,.99646435,1
