Date,price,volume,return_value,indication
2006/12/15,10000,10,1,1
2006/12/16,"","","",0
2006/12/17,"","","",0
2006/12/18,10026,10,1.0026,1
2006/12/19,9972,10,.994614,1
2006/12/20,9976,10,1.00040112,1
2006/12/21,9993,10,1.00170409,1
2006/12/22,9956,10,.99629741,1
2006/12/23,"","","",0
2006/12/24,"","","",0
2006/12/25,9936,10,.99799116,1
2006/12/26,9956,10,1.00201288,1
2006/12/27,9970,10,1.00140619,1
2006/12/28,10040,10,1.00702106,1
2006/12/29,10096,10,1.00557769,1
2006/12/30,"","","",0
2006/12/31,"","","",0
2007/01/01,"","","",0
2007/01/02,"","","",0
2007/01/03,"","","",0
2007/01/04,10191,10,1.00940967,1
2007/01/05,10094,10,.9904818,1
2007/01/06,"","","",0
2007/01/07,"","","",0
2007/01/08,"","","",0
2007/01/09,10071,10,.99772142,1
2007/01/10,10085,10,1.00139013,1
2007/01/11,10111,10,1.00257809,1
2007/01/12,10298,10,1.01849471,1
2007/01/13,"","","",0
2007/01/14,"","","",0
2007/01/15,10335,10,1.00359293,1
2007/01/16,10410,10,1.00725689,1
2007/01/17,10420,10,1.00096061,1
2007/01/18,10391,10,.99721689,1
2007/01/19,10418,10,1.0025984,1
2007/01/20,"","","",0
2007/01/21,"","","",0
2007/01/22,10478,10,1.00575926,1
2007/01/23,10452,10,.99751861,1
2007/01/24,10540,11,1.00841944,1
2007/01/25,10571,11,1.00294118,1
2007/01/26,10514,11,.99460789,1
2007/01/27,"","","",0
2007/01/28,"","","",0
2007/01/29,10456,10,.99448355,1
2007/01/30,10465,10,1.00086075,1
2007/01/31,10542,11,1.00735786,1
2007/02/01,10519,11,.99781825,1
2007/02/02,10598,11,1.00751022,1
2007/02/03,"","","",0
2007/02/04,"","","",0
2007/02/05,10647,11,1.00462351,1
2007/02/06,10601,11,.99567953,1
2007/02/07,10643,11,1.00396189,1
2007/02/08,10720,11,1.0072348,1
2007/02/09,10773,11,1.00494403,1
2007/02/10,"","","",0
2007/02/11,"","","",0
2007/02/12,"","","",0
2007/02/13,10663,11,.98978929,1
2007/02/14,10689,11,1.00243834,1
2007/02/15,10732,11,1.00402283,1
2007/02/16,10676,11,.99478196,1
2007/02/17,"","","",0
2007/02/18,"","","",0
2007/02/19,10662,11,.99868865,1
2007/02/20,10713,11,1.00478334,1
2007/02/21,10769,11,1.00522729,1
2007/02/22,10812,11,1.00399294,1
2007/02/23,10882,11,1.00647429,1
2007/02/24,"","","",0
2007/02/25,"","","",0
2007/02/26,10813,11,.99365925,1
2007/02/27,10756,11,.99472857,1
2007/02/28,10205,10,.94877278,1
2007/03/01,10201,10,.99960804,1
2007/03/02,10041,10,.98431526,1
2007/03/03,"","","",0
2007/03/04,"","","",0
2007/03/05,9743,10,.97032168,1
2007/03/06,9596,10,.98491224,1
2007/03/07,9851,10,1.02657357,1
2007/03/08,9798,10,.99461984,1
2007/03/09,10037,10,1.02439273,1
2007/03/10,"","","",0
2007/03/11,"","","",0
2007/03/12,10103,10,1.00657567,1
2007/03/13,10087,10,.99841631,1
2007/03/14,9789,10,.97045702,1
2007/03/15,9803,10,1.00143018,1
2007/03/16,9883,10,1.00816077,1
2007/03/17,"","","",0
2007/03/18,"","","",0
2007/03/19,9830,10,.99463726,1
2007/03/20,10042,10,1.02156663,1
2007/03/21,"","","",0
2007/03/22,10239,10,1.01961761,1
2007/03/23,10347,10,1.01054791,1
2007/03/24,"","","",0
2007/03/25,"","","",0
2007/03/26,10339,10,.99922683,1
2007/03/27,10328,10,.99893607,1
2007/03/28,10242,10,.99167312,1
2007/03/29,10041,10,.98037493,1
2007/03/30,10219,10,1.01772732,1
2007/03/31,"","","",0
2007/04/01,"","","",0
2007/04/02,10212,10,.999315,1
2007/04/03,10236,10,1.00235018,1
2007/04/04,10407,10,1.01670574,1
2007/04/05,10390,10,.99836648,1
2007/04/06,10449,10,1.00567854,1
2007/04/07,"","","",0
2007/04/08,"","","",0
2007/04/09,10478,10,1.00277539,1
2007/04/10,10457,10,.9979958,1
2007/04/11,10525,11,1.00650282,1
2007/04/12,10491,10,.9967696,1
2007/04/13,10522,11,1.00295491,1
2007/04/14,"","","",0
2007/04/15,"","","",0
2007/04/16,10595,11,1.00693784,1
2007/04/17,10744,11,1.01406324,1
2007/04/18,10700,11,.99590469,1
2007/04/19,10646,11,.99495327,1
2007/04/20,10641,11,.99953034,1
2007/04/21,"","","",0
2007/04/22,"","","",0
2007/04/23,10772,11,1.01231087,1
2007/04/24,10689,11,.99229484,1
2007/04/25,10666,11,.99784826,1
2007/04/26,10767,11,1.00946934,1
2007/04/27,10930,11,1.01513885,1
2007/04/28,"","","",0
2007/04/29,"","","",0
2007/04/30,"","","",0
2007/05/01,10754,11,.98389753,1
2007/05/02,10794,11,1.00371955,1
2007/05/03,"","","",0
2007/05/04,"","","",0
2007/05/05,"","","",0
2007/05/06,"","","",0
2007/05/07,11047,11,1.02343895,1
2007/05/08,11072,11,1.00226306,1
2007/05/09,10993,11,.99286488,1
2007/05/10,11083,11,1.00818703,1
2007/05/11,10905,11,.98393937,1
2007/05/12,"","","",0
2007/05/13,"","","",0
2007/05/14,11064,11,1.01458047,1
2007/05/15,11046,11,.9983731,1
2007/05/16,11037,11,.99918523,1
2007/05/17,11142,11,1.00951345,1
2007/05/18,11188,11,1.00412852,1
2007/05/19,"","","",0
2007/05/20,"","","",0
2007/05/21,11282,11,1.00840186,1
2007/05/22,11331,11,1.0043432,1
2007/05/23,11358,11,1.00238284,1
2007/05/24,11398,11,1.00352175,1
2007/05/25,11234,11,.98561151,1
2007/05/26,"","","",0
2007/05/27,"","","",0
2007/05/28,11333,11,1.00881253,1
2007/05/29,11346,11,1.00114709,1
2007/05/30,11355,11,1.00079323,1
2007/05/31,11419,11,1.00563628,1
2007/06/01,11483,11,1.00560469,1
2007/06/02,"","","",0
2007/06/03,"","","",0
2007/06/04,11574,12,1.00792476,1
2007/06/05,11570,12,.9996544,1
2007/06/06,11495,11,.99351772,1
2007/06/07,11297,11,.98277512,1
2007/06/08,11121,11,.98442064,1
2007/06/09,"","","",0
