Date,price,volume,return_value,indication
2006/12/28,10072,1,1.0072,1
2006/12/29,10093,1,1.00208499,1
2006/12/30,"","","",0
2006/12/31,"","","",0
2007/01/01,"","","",0
2007/01/02,"","","",0
2007/01/03,"","","",0
2007/01/04,10125,1,1.00317051,1
2007/01/05,10021,1,.9897284,1
2007/01/06,"","","",0
2007/01/07,"","","",0
2007/01/08,"","","",0
2007/01/09,9963,1,.99421215,1
2007/01/10,10001,1,1.00381411,1
2007/01/11,10000,1,.99990001,1
2007/01/12,10173,1,1.0173,1
2007/01/13,"","","",0
2007/01/14,"","","",0
2007/01/15,10197,1,1.00235919,1
2007/01/16,10267,1,1.00686476,1
2007/01/17,10270,1,1.0002922,1
2007/01/18,10253,1,.99834469,1
2007/01/19,10300,1,1.00458402,1
2007/01/20,"","","",0
2007/01/21,"","","",0
2007/01/22,10344,1,1.00427184,1
2007/01/23,10322,1,.99787316,1
2007/01/24,10381,1,1.00571595,1
2007/01/25,10384,1,1.00028899,1
2007/01/26,10337,1,.99547381,1
2007/01/27,"","","",0
2007/01/28,"","","",0
2007/01/29,10309,1,.99729128,1
2007/01/30,10319,1,1.00097003,1
2007/01/31,10383,1,1.00620215,1
2007/02/01,10355,1,.99730328,1
2007/02/02,10422,1,1.0064703,1
2007/02/03,"","","",0
2007/02/04,"","","",0
2007/02/05,10457,1,1.00335828,1
2007/02/06,10370,1,.99168021,1
2007/02/07,10408,1,1.00366442,1
2007/02/08,10494,1,1.00826287,1
2007/02/09,10510,1,1.00152468,1
2007/02/10,"","","",0
2007/02/11,"","","",0
2007/02/12,"","","",0
2007/02/13,10453,1,.99457659,1
2007/02/14,10498,1,1.00430498,1
2007/02/15,10523,1,1.00238141,1
2007/02/16,10468,1,.99477335,1
2007/02/17,"","","",0
2007/02/18,"","","",0
2007/02/19,10450,1,.99828047,1
2007/02/20,10496,1,1.00440191,1
2007/02/21,10548,1,1.00495427,1
2007/02/22,10585,1,1.00350777,1
2007/02/23,10631,1,1.00434577,1
2007/02/24,"","","",0
2007/02/25,"","","",0
2007/02/26,10588,1,.99595523,1
2007/02/27,10564,1,.99773328,1
2007/02/28,10061,1,.95238546,1
2007/03/01,10061,1,1,1
2007/03/02,9898,1,.98379883,1
2007/03/03,"","","",0
2007/03/04,"","","",0
2007/03/05,9625,1,.97241867,1
2007/03/06,9524,1,.98950649,1
2007/03/07,9750,1,1.02372953,1
2007/03/08,9694,1,.99425641,1
2007/03/09,9907,1,1.02197235,1
2007/03/10,"","","",0
2007/03/11,"","","",0
2007/03/12,9986,1,1.00797416,1
2007/03/13,9974,1,.99879832,1
2007/03/14,9686,1,.97112492,1
2007/03/15,9719,1,1.00340698,1
2007/03/16,9822,1,1.0105978,1
2007/03/17,"","","",0
2007/03/18,"","","",0
2007/03/19,9779,1,.99562207,1
2007/03/20,9990,1,1.02157685,1
2007/03/21,"","","",0
2007/03/22,10178,1,1.01881882,1
2007/03/23,10260,1,1.00805659,1
2007/03/24,"","","",0
2007/03/25,"","","",0
2007/03/26,10262,1,1.00019493,1
2007/03/27,10274,1,1.00116936,1
2007/03/28,10214,1,.99416002,1
2007/03/29,10039,1,.98286665,1
2007/03/30,10217,1,1.01773085,1
2007/03/31,"","","",0
2007/04/01,"","","",0
2007/04/02,10212,1,.99951062,1
2007/04/03,10237,1,1.0024481,1
2007/04/04,10419,1,1.01777865,1
2007/04/05,10441,1,1.00211153,1
2007/04/06,10491,1,1.00478881,1
2007/04/07,"","","",0
2007/04/08,"","","",0
2007/04/09,10522,1,1.00295491,1
2007/04/10,10513,1,.99914465,1
2007/04/11,10581,1,1.00646818,1
2007/04/12,10550,1,.99707022,1
2007/04/13,10567,1,1.00161137,1
2007/04/14,"","","",0
2007/04/15,"","","",0
2007/04/16,10648,1,1.00766537,1
2007/04/17,10797,1,1.01399324,1
2007/04/18,10750,1,.99564694,1
2007/04/19,10706,1,.99590698,1
2007/04/20,10711,1,1.00046703,1
2007/04/21,"","","",0
2007/04/22,"","","",0
2007/04/23,10835,1,1.01157688,1
2007/04/24,10760,1,.99307799,1
2007/04/25,10747,1,.99879182,1
2007/04/26,10858,1,1.01032846,1
2007/04/27,10946,1,1.00810462,1
2007/04/28,"","","",0
2007/04/29,"","","",0
2007/04/30,"","","",0
2007/05/01,10874,1,.99342225,1
2007/05/02,10902,1,1.00257495,1
2007/05/03,"","","",0
2007/05/04,"","","",0
2007/05/05,"","","",0
2007/05/06,"","","",0
2007/05/07,11088,1,1.01706109,1
2007/05/08,11116,1,1.00252525,1
2007/05/09,11022,1,.99154372,1
2007/05/10,11095,1,1.00662312,1
2007/05/11,10937,1,.98575935,1
2007/05/12,"","","",0
2007/05/13,"","","",0
2007/05/14,11065,1,1.01170339,1
2007/05/15,11084,1,1.00171713,1
2007/05/16,11082,1,.99981956,1
2007/05/17,11159,1,1.0069482,1
2007/05/18,11212,1,1.00474953,1
2007/05/19,"","","",0
2007/05/20,"","","",0
2007/05/21,11282,1,1.00624331,1
2007/05/22,11300,1,1.00159546,1
2007/05/23,11315,1,1.00132743,1
2007/05/24,11336,1,1.00185594,1
2007/05/25,11184,1,.98659139,1
2007/05/26,"","","",0
2007/05/27,"","","",0
2007/05/28,11270,1,1.00768956,1
2007/05/29,11280,1,1.00088731,1
2007/05/30,11290,1,1.00088652,1
2007/05/31,11339,1,1.00434012,1
2007/06/01,11397,1,1.00511509,1
2007/06/02,"","","",0
2007/06/03,"","","",0
2007/06/04,11488,1,1.00798456,1
2007/06/05,11491,1,1.00026114,1
2007/06/06,11409,1,.99286398,1
2007/06/07,11230,1,.98431063,1
2007/06/08,11072,1,.98593054,1
2007/06/09,"","","",0
2007/06/10,"","","",0
2007/06/11,11145,1,1.00659321,1
2007/06/12,11208,1,1.00565276,1
2007/06/13,11087,1,.98920414,1
2007/06/14,11295,1,1.01876071,1
