Date,price,volume,return_value,indication
2009/09/17,10000,42722,1,1
2009/09/18,9981,42643,.9981,1
2009/09/19,"","","",0
2009/09/20,"","","",0
2009/09/21,"","","",0
2009/09/22,"","","",0
2009/09/23,"","","",0
2009/09/24,9842,42961,.98607354,1
2009/09/25,9743,43165,.98994107,1
2009/09/26,"","","",0
2009/09/27,"","","",0
2009/09/28,9606,42783,.98593862,1
2009/09/29,9408,42140,.97938788,1
2009/09/30,9550,42969,1.01509354,1
2009/10/01,9493,42975,.99403141,1
2009/10/02,9475,42950,.99810387,1
2009/10/03,"","","",0
2009/10/04,"","","",0
2009/10/05,9368,42465,.98870712,1
2009/10/06,9385,42542,1.00181469,1
2009/10/07,9528,43190,1.01523708,1
2009/10/08,9619,43603,1.0095508,1
2009/10/09,9697,43954,1.00810895,1
2009/10/10,"","","",0
2009/10/11,"","","",0
2009/10/12,"","","",0
2009/10/13,9887,44816,1.01959369,1
2009/10/14,9974,45378,1.00879943,1
2009/10/15,10072,45872,1.00982555,1
2009/10/16,10207,46523,1.01340349,1
2009/10/17,"","","",0
2009/10/18,"","","",0
2009/10/19,10215,46590,1.00078378,1
2009/10/20,10408,47495,1.01889378,1
2009/10/21,10478,47817,1.0067256,1
2009/10/22,10484,47896,1.00057263,1
2009/10/23,10495,48002,1.00104922,1
2009/10/24,"","","",0
2009/10/25,"","","",0
2009/10/26,10760,49242,1.02525012,1
2009/10/27,10759,49249,.99990706,1
2009/10/28,10556,48321,.98113208,1
2009/10/29,10326,47307,.97821144,1
2009/10/30,10111,46361,.97917877,1
2009/10/31,"","","",0
2009/11/01,"","","",0
2009/11/02,10206,46820,1.00939571,1
2009/11/03,"","","",0
2009/11/04,10240,46980,1.00333137,1
2009/11/05,10448,47941,1.0203125,1
2009/11/06,10443,47929,.99952144,1
2009/11/07,"","","",0
2009/11/08,"","","",0
2009/11/09,10507,48226,1.00612851,1
2009/11/10,10624,48766,1.01113543,1
2009/11/11,10607,48697,.99839985,1
2009/11/12,10683,49047,1.00716508,1
2009/11/13,10696,49121,1.00121689,1
2009/11/14,"","","",0
2009/11/15,"","","",0
2009/11/16,10702,49155,1.00056096,1
2009/11/17,10893,50033,1.01784713,1
2009/11/18,10890,50027,.99972459,1
2009/11/19,10867,49922,.99788797,1
2009/11/20,10780,49523,.99199411,1
2009/11/21,"","","",0
2009/11/22,"","","",0
2009/11/23,"","","",0
2009/11/24,10820,49707,1.00371058,1
2009/11/25,10607,48734,.98031423,1
