Date,price,volume,return_value,indication
2009/09/17,10000,1,1,1
2009/09/18,10000,1,1,1
2009/09/19,"","","",0
2009/09/20,"","","",0
2009/09/21,"","","",0
2009/09/22,"","","",0
2009/09/23,"","","",0
2009/09/24,10001,1,1.0001,1
2009/09/25,10001,1,1,1
2009/09/26,"","","",0
2009/09/27,"","","",0
2009/09/28,10001,1,1,1
2009/09/29,10001,1,1,1
2009/09/30,10001,1,1,1
2009/10/01,10001,1,1,1
2009/10/02,10001,1,1,1
2009/10/03,"","","",0
2009/10/04,"","","",0
2009/10/05,10001,1,1,1
2009/10/06,10001,1,1,1
2009/10/07,10001,1,1,1
2009/10/08,10001,1,1,1
2009/10/09,10001,1,1,1
2009/10/10,"","","",0
2009/10/11,"","","",0
2009/10/12,"","","",0
2009/10/13,10002,1,1.00009999,1
2009/10/14,10002,1,1,1
2009/10/15,10002,1,1,1
2009/10/16,10002,1,1,1
2009/10/17,"","","",0
2009/10/18,"","","",0
2009/10/19,10002,1,1,1
2009/10/20,10002,1,1,1
2009/10/21,10002,1,1,1
2009/10/22,10002,1,1,1
2009/10/23,10002,1,1,1
2009/10/24,"","","",0
2009/10/25,"","","",0
2009/10/26,10002,1,1,1
2009/10/27,10002,1,1,1
2009/10/28,10002,1,1,1
2009/10/29,10002,1,1,1
2009/10/30,10002,1,1,1
2009/10/31,"","","",0
2009/11/01,"","","",0
2009/11/02,10002,1,1,1
2009/11/03,"","","",0
2009/11/04,10001,1,.99990002,1
2009/11/05,10001,1,1,1
2009/11/06,10001,1,1,1
2009/11/07,"","","",0
2009/11/08,"","","",0
2009/11/09,10001,1,1,1
2009/11/10,10001,1,1,1
2009/11/11,10002,1,1.00009999,1
2009/11/12,10002,1,1,1
2009/11/13,10002,1,1,1
2009/11/14,"","","",0
2009/11/15,"","","",0
2009/11/16,10002,1,1,1
2009/11/17,10002,1,1,1
2009/11/18,10002,1,1,1
2009/11/19,10002,1,1,1
2009/11/20,10002,1,1,1
2009/11/21,"","","",0
2009/11/22,"","","",0
2009/11/23,"","","",0
2009/11/24,10002,1,1,1
2009/11/25,10002,1,1,1
2009/11/26,10002,1,1,1
2009/11/27,10002,1,1,1
2009/11/28,"","","",0
2009/11/29,"","","",0
2009/11/30,10002,1,1,1
2009/12/01,10003,1,1.00009998,1
2009/12/02,10003,1,1,1
2009/12/03,10003,1,1,1
2009/12/04,10003,1,1,1
2009/12/05,"","","",0
2009/12/06,"","","",0
2009/12/07,10003,1,1,1
2009/12/08,10003,1,1,1
2009/12/09,10003,1,1,1
2009/12/10,10003,1,1,1
2009/12/11,10003,1,1,1
2009/12/12,"","","",0
2009/12/13,"","","",0
2009/12/14,10003,1,1,1
2009/12/15,10003,1,1,1
2009/12/16,10003,1,1,1
2009/12/17,10003,1,1,1
2009/12/18,10004,1,1.00009997,1
2009/12/19,"","","",0
2009/12/20,"","","",0
2009/12/21,10004,1,1,1
2009/12/22,10004,1,1,1
2009/12/23,"","","",0
2009/12/24,10004,1,1,1
2009/12/25,10004,1,1,1
2009/12/26,"","","",0
2009/12/27,"","","",0
2009/12/28,10004,1,1,1
2009/12/29,10004,1,1,1
2009/12/30,10004,1,1,1
2009/12/31,"","","",0
2010/01/01,"","","",0
2010/01/02,"","","",0
2010/01/03,"","","",0
2010/01/04,10004,1,1,1
2010/01/05,10004,1,1,1
2010/01/06,10004,44,1,1
2010/01/07,10004,141,1,1
2010/01/08,10004,231,1,1
2010/01/09,"","","",0
2010/01/10,"","","",0
2010/01/11,"","","",0
2010/01/12,10004,303,1,1
2010/01/13,10004,384,1,1
2010/01/14,10004,385,1,1
2010/01/15,10004,647,1,1
2010/01/16,"","","",0
2010/01/17,"","","",0
2010/01/18,10004,727,1,1
2010/01/19,10004,628,1,1
2010/01/20,10005,540,1.00009996,1
2010/01/21,10005,500,1,1
2010/01/22,10005,462,1,1
2010/01/23,"","","",0
2010/01/24,"","","",0
2010/01/25,10005,482,1,1
2010/01/26,10005,464,1,1
2010/01/27,10005,428,1,1
2010/01/28,10005,447,1,1
2010/01/29,10005,403,1,1
2010/01/30,"","","",0
2010/01/31,"","","",0
2010/02/01,10005,364,1,1
2010/02/02,10005,364,1,1
2010/02/03,10005,330,1,1
2010/02/04,10004,283,.99990005,1
2010/02/05,10005,260,1.00009996,1
2010/02/06,"","","",0
2010/02/07,"","","",0
2010/02/08,10004,260,.99990005,1
2010/02/09,10004,266,1,1
2010/02/10,10004,266,1,1
2010/02/11,"","","",0
2010/02/12,10004,283,1,1
2010/02/13,"","","",0
2010/02/14,"","","",0
2010/02/15,10004,236,1,1
2010/02/16,10004,228,1,1
2010/02/17,10005,228,1.00009996,1
2010/02/18,10005,228,1,1
