Date,price,volume,return_value,indication
2011/03/01,10000,19895,1,1
2011/03/02,9999,19895,.9999,1
2011/03/03,9999,19908,1,1
2011/03/04,9999,19924,1,1
2011/03/05,"","","",0
2011/03/06,"","","",0
2011/03/07,10092,20110,1.00930093,1
2011/03/08,10032,19997,.9940547,1
2011/03/09,10041,20018,1.00089713,1
2011/03/10,10078,20096,1.00368489,1
2011/03/11,10083,20108,1.00049613,1
2011/03/12,"","","",0
2011/03/13,"","","",0
2011/03/14,9982,19907,.98998314,1
2011/03/15,9979,19904,.99969946,1
2011/03/16,9775,19496,.97955707,1
2011/03/17,9804,19565,1.00296675,1
2011/03/18,9500,18957,.96899225,1
2011/03/19,"","","",0
2011/03/20,"","","",0
2011/03/21,"","","",0
2011/03/22,9901,19756,1.04221053,1
2011/03/23,9921,19799,1.00202,1
2011/03/24,9911,19779,.99899204,1
2011/03/25,9934,19815,1.00232065,1
2011/03/26,"","","",0
2011/03/27,"","","",0
2011/03/28,9963,19871,1.00291927,1
2011/03/29,10016,19977,1.00531968,1
2011/03/30,10107,20163,1.00908546,1
2011/03/31,10225,20408,1.01167508,1
2011/04/01,10277,20513,1.00508557,1
2011/04/02,"","","",0
2011/04/03,"","","",0
2011/04/04,10395,20748,1.01148195,1
2011/04/05,10495,20949,1.00962001,1
2011/04/06,10539,21037,1.00419247,1
2011/04/07,10699,21356,1.01518171,1
2011/04/08,10701,21359,1.00018693,1
2011/04/09,"","","",0
2011/04/10,"","","",0
2011/04/11,10834,21632,1.01242874,1
2011/04/12,10767,21483,.99381577,1
2011/04/13,10650,21250,.98913346,1
2011/04/14,10629,21206,.99802817,1
2011/04/15,10407,20763,.97911375,1
2011/04/16,"","","",0
2011/04/17,"","","",0
2011/04/18,10486,20918,1.00759104,1
2011/04/19,10415,20777,.99322907,1
2011/04/20,10392,20730,.99779165,1
2011/04/21,10524,20993,1.01270208,1
2011/04/22,10477,20900,.99553402,1
2011/04/23,"","","",0
2011/04/24,"","","",0
2011/04/25,10476,20899,.99990455,1
2011/04/26,10475,20898,.99990454,1
2011/04/27,10442,20831,.99684964,1
2011/04/28,10558,21065,1.01110898,1
2011/04/29,"","","",0
2011/04/30,"","","",0
2011/05/01,"","","",0
2011/05/02,10534,21016,.99772684,1
2011/05/03,"","","",0
2011/05/04,"","","",0
2011/05/05,"","","",0
2011/05/06,10169,20288,.96535029,1
2011/05/07,"","","",0
2011/05/08,"","","",0
2011/05/09,10144,20238,.99754155,1
2011/05/10,10250,20450,1.01044953,1
2011/05/11,10212,20374,.99629268,1
2011/05/12,10285,20517,1.00714845,1
2011/05/13,10106,20159,.98259601,1
2011/05/14,"","","",0
2011/05/15,"","","",0
2011/05/16,10123,20195,1.00168217,1
2011/05/17,10012,19974,.98903487,1
2011/05/18,10160,20271,1.01478226,1
2011/05/19,10162,20274,1.00019685,1
2011/05/20,10299,20548,1.0134816,1
2011/05/21,"","","",0
2011/05/22,"","","",0
2011/05/23,10267,20484,.9968929,1
2011/05/24,10173,20292,.99084445,1
2011/05/25,10190,20319,1.00167109,1
2011/05/26,10201,20289,1.00107949,1
2011/05/27,10242,20369,1.00401921,1
2011/05/28,"","","",0
2011/05/29,"","","",0
2011/05/30,10191,20268,.9950205,1
2011/05/31,10191,20257,1,1
2011/06/01,10311,20497,1.0117751,1
2011/06/02,10387,20648,1.00737077,1
2011/06/03,10387,20647,1,1
2011/06/04,"","","",0
2011/06/05,"","","",0
2011/06/06,10310,20494,.99258689,1
2011/06/07,10263,20394,.99544132,1
2011/06/08,10288,20438,1.00243593,1
