Date,price,volume,return_value,indication
2015/03/06,10038,1211,1.0038,1
2015/03/07,"","","",0
2015/03/08,"","","",0
2015/03/09,9981,1204,.99432158,1
2015/03/10,9935,1525,.99539124,1
2015/03/11,9936,1643,1.00010065,1
2015/03/12,10076,1671,1.01409018,1
2015/03/13,10160,1685,1.00833664,1
2015/03/14,"","","",0
2015/03/15,"","","",0
2015/03/16,10142,1904,.99822835,1
2015/03/17,10230,2210,1.00867679,1
2015/03/18,10325,2430,1.00928641,1
2015/03/19,10251,2420,.99283293,1
2015/03/20,10294,2654,1.00419471,1
2015/03/21,"","","",0
2015/03/22,"","","",0
2015/03/23,10349,2882,1.00534292,1
2015/03/24,10315,3129,.99671466,1
2015/03/25,10355,3141,1.00387785,1
2015/03/26,10183,3089,.98338967,1
2015/03/27,10164,3084,.99813415,1
2015/03/28,"","","",0
2015/03/29,"","","",0
2015/03/30,10214,3099,1.00491932,1
2015/03/31,10128,3073,.99158018,1
2015/04/01,10031,3043,.99042259,1
2015/04/02,10207,3097,1.01754561,1
2015/04/03,10292,3148,1.00832762,1
2015/04/04,"","","",0
2015/04/05,"","","",0
2015/04/06,10263,3264,.99718228,1
2015/04/07,10372,3369,1.01062068,1
2015/04/08,10420,3452,1.00462784,1
2015/04/09,10460,3488,1.00383877,1
2015/04/10,10425,3486,.99665392,1
2015/04/11,"","","",0
2015/04/12,"","","",0
2015/04/13,10407,3480,.99827338,1
2015/04/14,10435,3554,1.0026905,1
2015/04/15,10441,3557,1.00057499,1
2015/04/16,10510,3591,1.00660856,1
2015/04/17,10436,3598,.99295909,1
2015/04/18,"","","",0
2015/04/19,"","","",0
2015/04/20,10397,3596,.99626294,1
2015/04/21,10565,3705,1.01615851,1
2015/04/22,10661,3739,1.00908661,1
2015/04/23,10682,3770,1.0019698,1
2015/04/24,10651,3759,.99709792,1
2015/04/25,"","","",0
2015/04/26,"","","",0
2015/04/27,10646,4389,.99953056,1
2015/04/28,10714,4417,1.00638738,1
2015/04/29,"","","",0
2015/04/30,10513,4466,.9812395,1
2015/05/01,10475,4675,.99638543,1
2015/05/02,"","","",0
2015/05/03,"","","",0
2015/05/04,"","","",0
2015/05/05,"","","",0
2015/05/06,"","","",0
2015/05/07,10414,4716,.99417661,1
2015/05/08,10523,4924,1.01046668,1
2015/05/09,"","","",0
2015/05/10,"","","",0
2015/05/11,10612,5112,1.00845766,1
2015/05/12,10637,5159,1.00235582,1
