Date,price,volume,return_value,indication
2015/05/12,10000,1,1,1
2015/05/13,10000,1,1,1
2015/05/14,10000,8,1,1
2015/05/15,10000,8,1,1
2015/05/16,"","","",0
2015/05/17,"","","",0
2015/05/18,9999,10,.9999,1
2015/05/19,9998,10,.99989999,1
2015/05/20,10061,11,1.00630126,1
2015/05/21,10061,586,1,1
2015/05/22,10065,587,1.00039757,1
2015/05/23,"","","",0
2015/05/24,"","","",0
2015/05/25,10120,590,1.00546448,1
2015/05/26,10121,591,1.00009881,1
2015/05/27,10234,597,1.0111649,1
2015/05/28,10292,600,1.00566738,1
2015/05/29,10311,601,1.00184609,1
2015/05/30,"","","",0
2015/05/31,"","","",0
2015/06/01,10366,604,1.00533411,1
2015/06/02,10406,608,1.00385877,1
2015/06/03,10320,603,.99173554,1
2015/06/04,10301,602,.99815891,1
2015/06/05,10305,638,1.00038831,1
2015/06/06,"","","",0
2015/06/07,"","","",0
2015/06/08,10378,643,1.00708394,1
2015/06/09,10311,639,.99354404,1
2015/06/10,10298,639,.99873921,1
2015/06/11,10173,631,.98786172,1
2015/06/12,10216,633,1.00422688,1
2015/06/13,"","","",0
2015/06/14,"","","",0
2015/06/15,10232,634,1.00156617,1
2015/06/16,10231,634,.99990227,1
2015/06/17,10236,635,1.00048871,1
2015/06/18,10227,634,.99912075,1
2015/06/19,10210,635,.99833773,1
2015/06/20,"","","",0
2015/06/21,"","","",0
2015/06/22,10192,633,.99823702,1
2015/06/23,10227,637,1.00343407,1
2015/06/24,10258,639,1.00303119,1
2015/06/25,10262,639,1.00038994,1
2015/06/26,10227,637,.99658936,1
2015/06/27,"","","",0
2015/06/28,"","","",0
2015/06/29,10175,635,.99491542,1
2015/06/30,10156,634,.99813268,1
2015/07/01,10176,637,1.00196928,1
2015/07/02,10236,641,1.00589623,1
2015/07/03,10206,639,.99706917,1
2015/07/04,"","","",0
2015/07/05,"","","",0
2015/07/06,10184,638,.99784441,1
2015/07/07,10218,640,1.00333857,1
2015/07/08,10213,639,.99951067,1
2015/07/09,10091,632,.98805444,1
2015/07/10,10147,635,1.0055495,1
2015/07/11,"","","",0
2015/07/12,"","","",0
2015/07/13,10178,638,1.00305509,1
2015/07/14,10278,645,1.00982511,1
2015/07/15,10255,642,.99776221,1
2015/07/16,10301,646,1.00448562,1
2015/07/17,10322,653,1.00203864,1
2015/07/18,"","","",0
2015/07/19,"","","",0
2015/07/20,"","","",0
2015/07/21,10335,656,1.00125945,1
2015/07/22,10287,654,.99535559,1
2015/07/23,10317,656,1.0029163,1
2015/07/24,10317,657,1,1
2015/07/25,"","","",0
2015/07/26,"","","",0
2015/07/27,10302,661,.99854609,1
2015/07/28,10269,662,.99679674,1
2015/07/29,10290,662,1.00204499,1
2015/07/30,10325,664,1.00340136,1
2015/07/31,10323,664,.9998063,1
2015/08/01,"","","",0
2015/08/02,"","","",0
2015/08/03,10338,665,1.00145307,1
2015/08/04,10341,663,1.00029019,1
2015/08/05,10361,665,1.00193405,1
2015/08/06,10380,666,1.0018338,1
2015/08/07,10382,667,1.00019268,1
2015/08/08,"","","",0
2015/08/09,"","","",0
2015/08/10,10362,666,.99807359,1
2015/08/11,10382,665,1.00193013,1
2015/08/12,10444,669,1.00597187,1
2015/08/13,10395,666,.99530831,1
2015/08/14,10398,666,1.0002886,1
2015/08/15,"","","",0
2015/08/16,"","","",0
2015/08/17,10384,666,.99865359,1
2015/08/18,10393,662,1.00086672,1
2015/08/19,10382,666,.9989416,1
2015/08/20,10350,664,.99691774,1
2015/08/21,10344,666,.99942029,1
2015/08/22,"","","",0
2015/08/23,"","","",0
2015/08/24,10224,658,.98839907,1
2015/08/25,10024,646,.98043818,1
2015/08/26,9997,645,.99730646,1
2015/08/27,10066,649,1.00690207,1
2015/08/28,10137,657,1.00705345,1
2015/08/29,"","","",0
2015/08/30,"","","",0
2015/08/31,10139,658,1.0001973,1
2015/09/01,10122,658,.99832331,1
2015/09/02,10059,653,.99377593,1
2015/09/03,10083,651,1.00238592,1
2015/09/04,10037,650,.99543787,1
2015/09/05,"","","",0
2015/09/06,"","","",0
2015/09/07,9987,643,.99501843,1
2015/09/08,10013,645,1.00260338,1
2015/09/09,10068,648,1.00549286,1
2015/09/10,10057,649,.99890743,1
2015/09/11,10108,652,1.00507109,1
2015/09/12,"","","",0
2015/09/13,"","","",0
2015/09/14,10108,652,1,1
2015/09/15,10104,653,.99960427,1
2015/09/16,10058,650,.99544735,1
2015/09/17,10065,649,1.00069596,1
2015/09/18,10005,645,.99403875,1
2015/09/19,"","","",0
2015/09/20,"","","",0
2015/09/21,"","","",0
2015/09/22,"","","",0
2015/09/23,"","","",0
2015/09/24,10048,648,1.00429785,1
2015/09/25,10069,649,1.00208997,1
2015/09/26,"","","",0
2015/09/27,"","","",0
2015/09/28,10055,648,.99860959,1
2015/09/29,10018,646,.99632024,1
