Date,price,volume,return_value,indication
2016/04/28,10000,5,1,1
2016/04/29,"","","",0
2016/04/30,"","","",0
2016/05/01,"","","",0
2016/05/02,9701,5,.9701,1
2016/05/03,"","","",0
2016/05/04,"","","",0
2016/05/05,"","","",0
2016/05/06,9671,5,.99690754,1
2016/05/07,"","","",0
2016/05/08,"","","",0
2016/05/09,9729,5,1.00599731,1
2016/05/10,9954,5,1.02312673,1
2016/05/11,9949,5,.99949769,1
2016/05/12,9951,5,1.00020103,1
2016/05/13,9838,5,.98864436,1
2016/05/14,"","","",0
2016/05/15,"","","",0
2016/05/16,9830,5,.99918683,1
2016/05/17,9918,5,1.00895219,1
2016/05/18,9943,5,1.00252067,1
2016/05/19,9934,5,.99909484,1
2016/05/20,9999,5,1.00654319,1
2016/05/21,"","","",0
2016/05/22,"","","",0
2016/05/23,9965,5,.99659966,1
2016/05/24,9876,5,.99106874,1
2016/05/25,9995,5,1.01204941,1
2016/05/26,9990,5,.99949975,1
2016/05/27,10060,5,1.00700701,1
2016/05/28,"","","",0
2016/05/29,"","","",0
2016/05/30,10180,5,1.01192843,1
2016/05/31,10276,5,1.00943026,1
2016/06/01,10153,5,.98803036,1
2016/06/02,9930,5,.97803605,1
2016/06/03,9965,5,1.00352467,1
2016/06/04,"","","",0
2016/06/05,"","","",0
2016/06/06,9927,5,.99618665,1
2016/06/07,9991,5,1.00644706,1
2016/06/08,10066,5,1.00750676,1
2016/06/09,9974,5,.99086032,1
2016/06/10,9929,5,.99548827,1
2016/06/11,"","","",0
2016/06/12,"","","",0
2016/06/13,9569,5,.96374257,1
2016/06/14,9485,5,.99122165,1
2016/06/15,9513,5,1.00295203,1
2016/06/16,9245,5,.97182802,1
2016/06/17,9299,5,1.005841,1
2016/06/18,"","","",0
2016/06/19,"","","",0
2016/06/20,9513,5,1.02301323,1
2016/06/21,9630,5,1.01229896,1
2016/06/22,9579,5,.99470405,1
2016/06/23,9686,5,1.01117027,1
2016/06/24,8995,4,.92865992,1
2016/06/25,"","","",0
2016/06/26,"","","",0
2016/06/27,9155,5,1.01778766,1
2016/06/28,9157,5,1.00021846,1
