Date,price,volume,return_value,indication
2016/09/26,10000,1,1,1
2016/09/27,10000,1,1,1
2016/09/28,10055,1,1.0055,1
2016/09/29,10144,1,1.00885132,1
2016/09/30,10062,1,.9919164,1
2016/10/01,"","","",0
2016/10/02,"","","",0
2016/10/03,10145,1,1.00824886,1
2016/10/04,10114,1,.99694431,1
2016/10/05,10084,1,.99703381,1
2016/10/06,10126,1,1.00416501,1
2016/10/07,10127,1,1.00009876,1
2016/10/08,"","","",0
2016/10/09,"","","",0
2016/10/10,"","","",0
2016/10/11,10095,1,.99684013,1
2016/10/12,10026,1,.99316493,1
2016/10/13,10044,1,1.00179533,1
2016/10/14,10027,2,.99830745,1
2016/10/15,"","","",0
2016/10/16,"","","",0
2016/10/17,10074,2,1.00468734,1
2016/10/18,10065,10,.99910661,1
2016/10/19,10077,36,1.00119225,1
2016/10/20,10052,35,.9975191,1
2016/10/21,10092,36,1.00397931,1
2016/10/22,"","","",0
2016/10/23,"","","",0
2016/10/24,10095,36,1.00029727,1
2016/10/25,10155,36,1.00594354,1
2016/10/26,10092,44,.99379616,1
2016/10/27,10068,44,.99762188,1
2016/10/28,10066,43,.99980135,1
2016/10/29,"","","",0
2016/10/30,"","","",0
2016/10/31,10043,45,.99771508,1
2016/11/01,10009,45,.99661456,1
2016/11/02,10009,45,1,1
2016/11/03,"","","",0
2016/11/04,9849,44,.98401439,1
2016/11/05,"","","",0
2016/11/06,"","","",0
2016/11/07,9829,48,.99796934,1
2016/11/08,10014,49,1.01882185,1
2016/11/09,10037,49,1.00229678,1
2016/11/10,10138,50,1.01006277,1
2016/11/11,10164,53,1.00256461,1
2016/11/12,"","","",0
2016/11/13,"","","",0
2016/11/14,10164,53,1,1
2016/11/15,10103,53,.99399843,1
2016/11/16,10172,64,1.00682965,1
2016/11/17,10161,66,.9989186,1
2016/11/18,10208,67,1.00462553,1
2016/11/19,"","","",0
2016/11/20,"","","",0
2016/11/21,10195,66,.99872649,1
2016/11/22,10274,67,1.0077489,1
2016/11/23,"","","",0
2016/11/24,10278,71,1.00038933,1
2016/11/25,10278,71,1,1
2016/11/26,"","","",0
2016/11/27,"","","",0
2016/11/28,10304,72,1.00252968,1
2016/11/29,10251,71,.99485637,1
2016/11/30,10275,71,1.00234124,1
2016/12/01,10235,71,.99610706,1
2016/12/02,10203,71,.99687347,1
2016/12/03,"","","",0
2016/12/04,"","","",0
2016/12/05,10194,74,.99911791,1
2016/12/06,10261,74,1.00657249,1
2016/12/07,10291,75,1.00292369,1
2016/12/08,10400,78,1.01059178,1
2016/12/09,10417,78,1.00163462,1
2016/12/10,"","","",0
2016/12/11,"","","",0
2016/12/12,10481,79,1.0061438,1
2016/12/13,10472,82,.9991413,1
2016/12/14,10544,82,1.00687548,1
2016/12/15,10468,81,.99279211,1
2016/12/16,10501,82,1.00315246,1
2016/12/17,"","","",0
2016/12/18,"","","",0
2016/12/19,10482,82,.99819065,1
2016/12/20,10491,82,1.00085861,1
2016/12/21,10542,82,1.00486131,1
2016/12/22,10508,82,.99677481,1
2016/12/23,"","","",0
2016/12/24,"","","",0
2016/12/25,"","","",0
2016/12/26,10490,82,.99828702,1
2016/12/27,10490,82,1,1
