Date,price,volume,return_value,indication
2016/09/26,10000,1,1,1
2016/09/27,10000,1,1,1
2016/09/28,10052,1,1.0052,1
2016/09/29,10180,1,1.01273378,1
2016/09/30,10192,1,1.00117878,1
2016/10/01,"","","",0
2016/10/02,"","","",0
2016/10/03,10240,1,1.00470958,1
2016/10/04,10243,1,1.00029297,1
2016/10/05,10337,1,1.009177,1
2016/10/06,10447,1,1.01064139,1
2016/10/07,10493,1,1.00440318,1
2016/10/08,"","","",0
2016/10/09,"","","",0
2016/10/10,"","","",0
2016/10/11,10378,1,.98904031,1
2016/10/12,10358,1,.99807285,1
2016/10/13,10379,3,1.00202742,1
2016/10/14,10351,4,.99730224,1
2016/10/15,"","","",0
2016/10/16,"","","",0
2016/10/17,10459,4,1.01043377,1
2016/10/18,10386,4,.99302037,1
2016/10/19,10397,13,1.00105912,1
2016/10/20,10333,13,.99384438,1
2016/10/21,10436,13,1.00996806,1
2016/10/22,"","","",0
2016/10/23,"","","",0
2016/10/24,10422,13,.99865849,1
2016/10/25,10533,13,1.01065055,1
2016/10/26,10484,13,.99534795,1
2016/10/27,10443,13,.99608928,1
2016/10/28,10496,12,1.00507517,1
2016/10/29,"","","",0
2016/10/30,"","","",0
2016/10/31,10508,14,1.00114329,1
2016/11/01,10446,14,.99409973,1
2016/11/02,10446,14,1,1
2016/11/03,"","","",0
2016/11/04,10098,14,.96668581,1
2016/11/05,"","","",0
2016/11/06,"","","",0
2016/11/07,10059,14,.99613785,1
2016/11/08,10417,14,1.03559002,1
2016/11/09,10467,14,1.00479985,1
2016/11/10,10553,15,1.0082163,1
2016/11/11,10755,15,1.01914148,1
2016/11/12,"","","",0
2016/11/13,"","","",0
2016/11/14,10755,15,1,1
2016/11/15,10887,15,1.01227336,1
2016/11/16,11035,15,1.01359419,1
2016/11/17,11077,18,1.00380607,1
2016/11/18,11126,19,1.00442358,1
2016/11/19,"","","",0
2016/11/20,"","","",0
2016/11/21,11240,19,1.01024627,1
2016/11/22,11349,19,1.00969751,1
2016/11/23,"","","",0
2016/11/24,11550,21,1.01771081,1
2016/11/25,11549,21,.99991342,1
2016/11/26,"","","",0
2016/11/27,"","","",0
2016/11/28,11584,21,1.00303057,1
2016/11/29,11451,21,.98851865,1
2016/11/30,11532,21,1.00707362,1
2016/12/01,11608,21,1.00659036,1
2016/12/02,11622,21,1.00120606,1
2016/12/03,"","","",0
2016/12/04,"","","",0
2016/12/05,11548,21,.99363277,1
2016/12/06,11689,21,1.01220991,1
2016/12/07,11679,21,.99914449,1
2016/12/08,11776,22,1.00830551,1
2016/12/09,11861,22,1.00721807,1
2016/12/10,"","","",0
2016/12/11,"","","",0
2016/12/12,12035,22,1.01466993,1
2016/12/13,12048,24,1.00108018,1
2016/12/14,12114,24,1.00547809,1
2016/12/15,12009,24,.99133234,1
2016/12/16,12430,25,1.03505704,1
2016/12/17,"","","",0
2016/12/18,"","","",0
2016/12/19,12385,25,.99637973,1
2016/12/20,12243,24,.98853452,1
2016/12/21,12424,25,1.01478396,1
2016/12/22,12345,24,.99364134,1
2016/12/23,"","","",0
2016/12/24,"","","",0
2016/12/25,"","","",0
2016/12/26,12277,24,.9944917,1
2016/12/27,12276,24,.99991855,1
