Date,price,volume,return_value,indication
2018/04/27,10000,500,1,1
2018/04/28,"","","",0
2018/04/29,"","","",0
2018/04/30,"","","",0
2018/05/01,9999,500,.9999,1
2018/05/02,9999,500,1,1
2018/05/03,"","","",0
2018/05/04,"","","",0
2018/05/05,"","","",0
2018/05/06,"","","",0
2018/05/07,9999,500,1,1
2018/05/08,9998,500,.99989999,1
2018/05/09,9983,574,.9984997,1
2018/05/10,9999,688,1.00160272,1
2018/05/11,10001,833,1.00020002,1
2018/05/12,"","","",0
2018/05/13,"","","",0
2018/05/14,10000,933,.99990001,1
2018/05/15,9984,1011,.9984,1
2018/05/16,9966,1141,.99819712,1
2018/05/17,9973,1205,1.00070239,1
2018/05/18,9973,1253,1,1
2018/05/19,"","","",0
2018/05/20,"","","",0
2018/05/21,9990,1313,1.0017046,1
2018/05/22,9997,1366,1.0007007,1
2018/05/23,9995,1460,.99979994,1
2018/05/24,9982,1521,.99869935,1
2018/05/25,10005,1622,1.00230415,1
2018/05/26,"","","",0
2018/05/27,"","","",0
2018/05/28,10021,1706,1.0015992,1
2018/05/29,10025,1764,1.00039916,1
2018/05/30,10033,1808,1.000798,1
2018/05/31,10024,1851,.99910296,1
2018/06/01,10039,1939,1.00149641,1
2018/06/02,"","","",0
2018/06/03,"","","",0
2018/06/04,10028,1974,.99890427,1
2018/06/05,10028,2155,1,1
2018/06/06,10036,2236,1.00079777,1
